Latitude,Longitude,DateTime
35.750790,139.873810,2021-09-04T07:22:15
35.750792,139.873810,2021-09-04T07:22:16
35.750792,139.873808,2021-09-04T07:22:16
35.750792,139.873808,2021-09-04T07:22:17
35.750792,139.873808,2021-09-04T07:22:18
35.750794,139.873808,2021-09-04T07:22:18
35.750794,139.873807,2021-09-04T07:22:18
35.750794,139.873807,2021-09-04T07:22:19
35.750795,139.873807,2021-09-04T07:22:20
35.750795,139.873805,2021-09-04T07:22:20
35.750795,139.873805,2021-09-04T07:22:21
35.750797,139.873805,2021-09-04T07:22:22
35.750797,139.873803,2021-09-04T07:22:22
35.750797,139.873803,2021-09-04T07:22:23
35.750797,139.873802,2021-09-04T07:22:24
35.750799,139.873802,2021-09-04T07:22:24
35.750799,139.873802,2021-09-04T07:22:25
35.750799,139.873800,2021-09-04T07:22:25
35.750799,139.873800,2021-09-04T07:22:26
35.750799,139.873800,2021-09-04T07:22:27
35.750799,139.873798,2021-09-04T07:22:27
35.750799,139.873798,2021-09-04T07:22:28
35.750800,139.873798,2021-09-04T07:22:28
35.750800,139.873797,2021-09-04T07:22:28
35.750800,139.873797,2021-09-04T07:22:29
35.750800,139.873797,2021-09-04T07:22:30
35.750800,139.873795,2021-09-04T07:22:30
35.750800,139.873795,2021-09-04T07:22:31
35.750802,139.873795,2021-09-04T07:22:31
35.750802,139.873793,2021-09-04T07:22:31
35.750802,139.873793,2021-09-04T07:22:32
35.750802,139.873793,2021-09-04T07:22:33
35.750802,139.873792,2021-09-04T07:22:33
35.750802,139.873792,2021-09-04T07:22:34
35.750804,139.873792,2021-09-04T07:22:34
35.750804,139.873792,2021-09-04T07:22:35
35.750804,139.873790,2021-09-04T07:22:35
35.750804,139.873790,2021-09-04T07:22:36
35.750805,139.873790,2021-09-04T07:22:36
35.750805,139.873788,2021-09-04T07:22:36
35.750805,139.873788,2021-09-04T07:22:37
35.750805,139.873788,2021-09-04T07:22:38
35.750805,139.873787,2021-09-04T07:22:38
35.750805,139.873787,2021-09-04T07:22:39
35.750807,139.873787,2021-09-04T07:22:39
35.750807,139.873787,2021-09-04T07:22:40
35.750807,139.873785,2021-09-04T07:22:40
35.750807,139.873785,2021-09-04T07:22:41
35.750807,139.873783,2021-09-04T07:22:41
35.750809,139.873783,2021-09-04T07:22:42
35.750809,139.873783,2021-09-04T07:22:43
35.750809,139.873782,2021-09-04T07:22:43
35.750809,139.873782,2021-09-04T07:22:44
35.750810,139.873782,2021-09-04T07:22:44
35.750810,139.873782,2021-09-04T07:22:45
35.750810,139.873780,2021-09-04T07:22:45
35.750810,139.873780,2021-09-04T07:22:46
35.750810,139.873778,2021-09-04T07:22:47
35.750812,139.873778,2021-09-04T07:22:47
35.750812,139.873778,2021-09-04T07:22:48
35.750812,139.873778,2021-09-04T07:22:49
35.750812,139.873777,2021-09-04T07:22:49
35.750812,139.873777,2021-09-04T07:22:50
35.750814,139.873777,2021-09-04T07:22:50
35.750814,139.873777,2021-09-04T07:22:51
35.750814,139.873775,2021-09-04T07:22:51
35.750814,139.873775,2021-09-04T07:22:52
35.750815,139.873775,2021-09-04T07:22:52
35.750815,139.873775,2021-09-04T07:22:53
35.750815,139.873773,2021-09-04T07:22:53
35.750815,139.873773,2021-09-04T07:22:54
35.750817,139.873773,2021-09-04T07:22:54
35.750817,139.873773,2021-09-04T07:22:55
35.750817,139.873772,2021-09-04T07:22:55
35.750817,139.873772,2021-09-04T07:22:56
35.750819,139.873770,2021-09-04T07:22:57
35.750819,139.873770,2021-09-04T07:22:58
35.750819,139.873768,2021-09-04T07:22:58
35.750819,139.873768,2021-09-04T07:22:59
35.750820,139.873768,2021-09-04T07:22:59
35.750820,139.873768,2021-09-04T07:23:00
35.750820,139.873767,2021-09-04T07:23:00
35.750820,139.873767,2021-09-04T07:23:01
35.750820,139.873765,2021-09-04T07:23:01
35.750820,139.873765,2021-09-04T07:23:02
35.750822,139.873765,2021-09-04T07:23:02
35.750822,139.873765,2021-09-04T07:23:03
35.750822,139.873763,2021-09-04T07:23:03
35.750822,139.873763,2021-09-04T07:23:04
35.750824,139.873763,2021-09-04T07:23:05
35.750824,139.873762,2021-09-04T07:23:05
35.750824,139.873762,2021-09-04T07:23:06
35.750824,139.873762,2021-09-04T07:23:07
35.750825,139.873762,2021-09-04T07:23:07
35.750825,139.873760,2021-09-04T07:23:07
35.750825,139.873760,2021-09-04T07:23:08
